,0
1044,KOTAKNIFTY
1045,MIDHANI
1046,HAVISHA
1047,DHARSUGAR
1048,ITDC
1049,TDPOWERSYS
1050,HARRMALAYA
1051,ICICIB22
1052,DGCONTENT
1053,UCALFUEL
1054,SHREYANIND
1055,SYMPHONY
1056,VISHAL
1057,ATFL
1058,ORIENTHOT
1059,BROOKS
1060,SRHHYPOLTD
1061,MOHITIND
1062,BIRLAMONEY
1063,RML
1064,SMLT
1065,ADL
1066,JINDRILL
1067,EIMCOELECO
1068,TANTIACONS
1069,CCHHL
1070,ARMANFIN
1071,KANORICHEM
1072,MUKANDLTD
1073,PRESSMN
1074,IFBIND
1075,KAYA
1076,IMAGICAA
1077,RAJSREESUG
1078,GET&D
1079,PAISALO
1080,CHEMBOND
1081,RANEENGINE
1082,ASAHISONG
1083,MUNJALSHOW
1084,RVHL
1085,INDOTECH
1086,DEEPENR
1087,TNPL
1088,TMRVL
1089,TARAPUR
1090,BIOFILCHEM
1091,PEARLPOLY
1092,GOKULAGRO
1093,KIRLOSBROS
1094,KAKATCEM
1095,MAANALU
1096,SHANTIGEAR
1097,GINNIFILA
1098,CORDSCABLE
1099,NILKAMAL
1100,UNIVCABLES
1101,CHOLAHLDNG
1102,WEIZMANIND
1103,CANDC
1104,LIBERTSHOE
1105,SELAN
1106,HERCULES
1107,AKZOINDIA
1108,GSCLCEMENT
1109,RMCL
1110,WESTLIFE
1111,SIMPLEXINF
1112,JSWHL
1113,THOMASCOTT
1114,BEDMUTHA
1115,KESARENT
1116,AYMSYNTEX
1117,PRAXIS
1118,ARIES
1119,RANEHOLDIN
1120,CERA
1121,JETFREIGHT
1122,UMESLTD
1123,SIL
1124,HLVLTD
1125,SANWARIA
1126,METALFORGE
1127,LINC
1128,HDFCNIFETF
1129,ICICINV20
1130,ALKALI
1131,VLSFINANCE
1132,TAINWALCHM
1133,JUMBO
1134,GULFPETRO
1135,TARMAT
1136,KAVVERITEL
1137,PRIMESECU
1138,ROSSELLIND
1139,BHARATGEAR
1140,TTL
1141,HEXATRADEX
1142,GOENKA
1143,ORIENTBELL
1144,MANUGRAPH
1145,UTINIFTETF
1146,JAIBALAJI
1147,BPL
1148,IVP
1149,SUMMITSEC
1150,HINDNATGLS
1151,ANIKINDS
1152,ORBTEXP
1153,TIIL
1154,TCIDEVELOP
1155,STEL
1156,GUJAPOLLO
1157,GICHSGFIN
1158,NATNLSTEEL
1159,RUBYMILLS
1160,PILANIINVS
1161,NITINFIRE
1162,FOSECOIND
1163,ESSARSHPNG
1164,SMLISUZU
1165,ICICINXT50
1166,5PAISA
1167,DIGISPICE
1168,ROHLTD
1169,FMNL
1170,GALLISPAT
1171,SUPERHOUSE
1172,ARCHIES
1173,GOCLCORP
1174,GOLDENTOBC
1175,CINELINE
1176,BSL
1177,JISLDVREQS
1178,SEYAIND
1179,KTIL
1180,VICEROY
1181,SPECIALITY
1182,DBSTOCKBRO
1183,ANMOL
1184,EMMBI
1185,DELTAMAGNT
1186,NATHBIOGEN
1187,DELPHIFX
1188,VADILALIND
1189,KOTAKPSUBK
1190,KARMAENG
1191,TCPLPACK
1192,ANDHRAPAP
1193,DHUNINV
1194,LYPSAGEMS
1195,BANARBEADS
1196,INDSWFTLTD
1197,PIONDIST
1198,PFOCUS
1199,3PLAND
1200,DENORA
1201,IRIS
1202,SESHAPAPER
1203,VSTTILLERS
1204,MOTOGENFIN
1205,DONEAR
1206,CORALFINAC
1207,KICL
1208,ICICIBANKP
1209,DODLA
1210,ICICILOVOL
1211,CAREERP
1212,FLEXITUFF
1213,BVCL
1214,TRF
1215,MADRASFERT
1216,SUPREMEINF
1217,SEAMECLTD
1218,ARCHIDPLY
1219,MAHEPC
1220,SMSLIFE
1221,STARCEMENT
1222,SBC
1223,SHARIABEES
1224,VARDMNPOLY
1225,HMT
1226,HITECH
1227,AUTOIND
1228,SHEMAROO
1229,TECHIN
1230,TGBHOTELS
1231,ICICINF100
1232,KAMATHOTEL
1233,YUKEN
1234,VHL
1235,SORILINFRA
1236,GPTINFRA
1237,AGRITECH
1238,ALMONDZ
1239,OILCOUNTUB
1240,SILINV
1241,MANGTIMBER
1242,CINEVISTA
1243,ASTRON
1244,MOM100
1245,SETFNIFBK
1246,DICIND
1247,CREATIVE
1248,EIHAHOTELS
1249,KOTHARIPRO
1250,IWEL
1251,INDBANK
1252,ORIENTLTD
1253,CLEDUCATE
1254,ASIANHOTNR
1255,TCIFINANCE
1256,ICICIMCAP
1257,MAHASTEEL
1258,CUPID
1259,RUCHIRA
1260,WENDT
1261,STEELCAS
1262,HILTON
1263,STERTOOLS
1264,NIBL
1265,VESUVIUS
1266,MUKTAARTS
1267,ZENITHEXPO
1268,KAUSHALYA
1269,RATNAMANI
1270,JAYBARMARU
1271,OMKARCHEM
1272,CYBERMEDIA
1273,AHLEAST
1274,ICDSLTD
1275,NAGREEKEXP
1276,KALYANIFRG
1277,KREBSBIO
1278,ARIHANT
1279,MAHAPEXLTD
1280,GTNTEX
1281,AXISTECETF
1282,MAGNUM
1283,MODIRUBBER
1284,AMJLAND
1285,NSIL
1286,PATSPINLTD
1287,APLAB
1288,WILLAMAGOR
1289,DRCSYSTEMS
1290,TIL
1291,THEINVEST
1292,ATLANTA
1293,ICICI500
1294,ICRA
1295,BANG
1296,REVATHI
1297,WORTH
1298,UTINEXT50
1299,ICICISENSX
1300,SREEL
1301,ZODJRDMKJ
1302,ADORWELD
1303,UTIBANKETF
1304,WELINV
1305,HINDCOMPOS
1306,CREATIVEYE
1307,TIJARIA
1308,RADIOCITY
1309,MADHAV
1310,JAINSTUDIO
1311,RADAAN
1312,PPAP
1313,CUBEXTUB
1314,TIMESGTY
1315,NETFNIF100
1316,TREEHOUSE
1317,CREST
1318,OMAXAUTO
1319,UTISENSETF
1320,BALKRISHNA
1321,ENIL
1322,ORTEL
1323,INCREDIBLE
1324,ARENTERP
1325,SUNDRMBRAK
1326,ADROITINFO
1327,PBAINFRA
1328,UTISXN50
1329,DCMFINSERV
1330,TFL
1331,ADVANIHOTR
1332,KHANDSE
1333,LICNETFN50
1334,KHAITANLTD
1335,BHAGCHEM
1336,AICHAMP
1337,ICICIM150
1338,DNAMEDIA
1339,ABSLNN50ET
1340,GEECEE
1341,REPRO
1342,VISESHINFO
1343,CCCL
1344,S&SPOWER
1345,INFRABEES
1346,ABSLBANETF
